court,n,k,occ,words,rate,lo,hi,per_100k_words
scotus,51064,8983,13168,189242744,0.1759164969450102,0.17263845061499028,0.17924330191241633,6.958258859319858
ca1,35427,9560,13948,128045490,0.2698506788607559,0.2652535336212382,0.2744977321234626,10.893003728596767
ca2,79681,15779,22551,224109023,0.1980271331936095,0.1952746450651635,0.20080873749877942,10.062513190287746
ca3,54354,13240,20137,196969535,0.24358832836589764,0.2399978575008421,0.24721504169565578,10.223408406787375
ca4,80435,9869,13832,159014695,0.12269534406663765,0.12044597383977274,0.12498075294193164,8.698567135571967
ca5,103306,18756,26406,264608453,0.1815577023599791,0.1792188713219553,0.1839202160967984,9.979273035544333
ca6,73904,11851,15956,222969819,0.16035667893483438,0.15772881069569544,0.16301985530241972,7.156125466469523
ca7,72028,13086,17330,225071288,0.18167934692064197,0.17888042998507261,0.18451221719111732,7.699782657306338
ca8,79280,12756,16479,196570312,0.16089808274470233,0.1583567788903271,0.16347224812291494,8.383259828167745
ca9,147809,28392,41449,342650523,0.1920857322625821,0.19008541152895578,0.19410205814756246,12.096581565702149
ca10,45445,9207,13638,142255056,0.20259654527450766,0.19892629774581266,0.20631706933705707,9.587005469949695
ca11,40392,9785,14562,146021812,0.24225094078035256,0.2380972386843893,0.24645366617904602,9.97248274114007
cadc,43022,10020,15243,163540657,0.2329040955790061,0.22893390245133222,0.23692198449080723,9.320618052794053
cafc,22107,4326,6082,69602602,0.19568462477948162,0.19050791307554177,0.2009670817071082,8.738179069799719
