court,period,n,k,occ,words,rate,lo,hi,per_100k_words
scotus,pre-1990,41996,6206,8564,137286350,0.14777597866463474,0.14441404877576813,0.15120234231081162,6.238056441882241
scotus,1990-2004,4622,1335,2051,22633522,0.28883600173085244,0.27594934500553053,0.3020733871174197,9.061780133025696
scotus,2005-2014,2513,778,1333,14189101,0.3095901313171508,0.29181603827865904,0.3279454914099793,9.394534579745399
scotus,2015-2026,1933,664,1220,15133771,0.3435075012933264,0.3226665103437654,0.36496927773513577,8.061440866258648
ca1,pre-1990,12921,2568,3396,37502041,0.19874622707220804,0.1919553510929496,0.2057161840073336,9.055507138931452
ca1,1990-2004,13766,3947,5716,49994559,0.2867209065814325,0.2792266256270939,0.29433419151404155,11.433244165630104
ca1,2005-2014,5086,1610,2425,22183344,0.31655524970507276,0.3039144405777728,0.3294729717141932,10.931625096739248
ca1,2015-2026,3654,1435,2411,18365546,0.39272030651340994,0.3770062640311107,0.40865968716808826,13.127842755124188
ca2,pre-1990,37177,5733,7301,94274682,0.1542082470344568,0.15057282135133288,0.15791512852874726,7.744391012636881
ca2,1990-2004,15829,4061,5930,54905212,0.2565544254216944,0.2498103859937406,0.263416601636831,10.800431842426908
ca2,2005-2014,18436,3645,5575,44146111,0.1977110002169668,0.19202508158472018,0.20352287149531062,12.628518965124698
ca2,2015-2026,8239,2340,3745,30783018,0.28401505037019054,0.274380094835177,0.29385132671731284,12.165798688094846
ca3,pre-1990,24407,4933,7242,74865269,0.2021141475806121,0.19712309542101147,0.20719895794072096,9.673377384111182
ca3,1990-2004,12728,4388,7033,64910018,0.3447517284726587,0.336542497040762,0.35305464654921165,10.834999306270413
ca3,2005-2014,11192,2376,3517,36725026,0.21229449606862044,0.204817635793297,0.21996879562602564,9.576575929449307
ca3,2015-2026,6027,1543,2345,20469222,0.25601460096233614,0.24515399287327916,0.267186042719763,11.456224374331375
ca4,pre-1990,21906,2847,3653,50008899,0.1299643933168995,0.12557616584014492,0.13448238246081584,7.304699909510105
ca4,1990-2004,26460,3254,4617,51843691,0.12297808012093726,0.11907558971426771,0.1269900306301346,8.905615921520711
ca4,2005-2014,14047,1632,2429,26638623,0.1161813910443511,0.11098676850180436,0.12158589106045271,9.118339187427217
ca4,2015-2026,18022,2136,3133,30523482,0.11852180668072355,0.11388380501576516,0.12332240675966728,10.26422870103745
ca5,pre-1990,50061,7516,10247,122914474,0.15013683306366232,0.14703454782219574,0.1532928100496406,8.336691088146381
ca5,1990-2004,23040,5084,7226,66754151,0.22065972222222222,0.2153517754336327,0.22606080570474832,10.824795000388814
ca5,2005-2014,16179,3348,4804,38885103,0.206934915631374,0.20076243964715307,0.21324653143490954,12.354345570333194
ca5,2015-2026,14026,2808,4129,36054725,0.2001996292599458,0.19365977562326767,0.20690366338234448,11.452035759529439
ca6,pre-1990,29236,3177,3884,64340816,0.10866739636065126,0.10515115275574508,0.11228646838376206,6.036603576802632
ca6,1990-2004,24631,3603,4759,67585619,0.14627907920912672,0.1419209316557745,0.1507475464723739,7.041438800760262
ca6,2005-2014,12857,3152,4514,57482820,0.2451582795364393,0.2377991556127766,0.2526696485438658,7.8527810570184275
ca6,2015-2026,7180,1919,2799,33560564,0.2672701949860724,0.25716037539540565,0.2776289217405445,8.340145892661399
ca7,pre-1990,25906,4490,6109,77421668,0.17331892225739212,0.16875800887960485,0.17797670832530468,7.890555910007002
ca7,1990-2004,21871,4330,5586,71268766,0.19797905902793653,0.19275119842393312,0.20331299981922124,7.837935625263948
ca7,2005-2014,15002,2530,3305,46092781,0.16864418077589655,0.16273733068850127,0.17472068966005416,7.170320228670949
ca7,2015-2026,9249,1736,2330,30288073,0.1876959671315818,0.17986838069485186,0.19578287869772215,7.692797095411121
ca8,pre-1990,30407,3897,4887,80391778,0.12816127865294175,0.12445098160964362,0.13196551953710525,6.078979867816831
ca8,1990-2004,26568,4631,5979,59900016,0.17430743751881964,0.16979273173326828,0.17891631672049038,9.981633393887575
ca8,2005-2014,13997,2683,3587,37396524,0.19168393227120098,0.1852477571587349,0.19828930107067896,9.591800564137992
ca8,2015-2026,8308,1545,2026,18881994,0.1859653346172364,0.17774462279708106,0.19447633001799672,10.729798982035478
ca9,pre-1990,42223,7888,10921,104861779,0.18681761125452953,0.18312837680365193,0.19056382943514,10.414662143010181
ca9,1990-2004,44363,8980,12814,99769854,0.2024209363658905,0.19870773518706117,0.20618567061264306,12.843558937151496
ca9,2005-2014,41655,7381,11305,89089998,0.17719361421197935,0.1735565615561746,0.18089020251323246,12.689415482981602
ca9,2015-2026,19568,4143,6409,48928892,0.21172322158626328,0.20605599708360542,0.21750361316788977,13.098600311652264
ca10,pre-1990,16455,2013,2465,41232107,0.12233363719234275,0.1174149732929862,0.1274286006314387,5.978350803173847
ca10,1990-2004,16259,3433,4875,47565263,0.21114459683867395,0.20493987416582862,0.21748578605827387,10.249076095721367
ca10,2005-2014,7291,2016,3222,29544617,0.276505280482787,0.26635828110140874,0.2868876728614573,10.90553991612076
ca10,2015-2026,5440,1745,3076,23913069,0.32077205882352944,0.3084982426980676,0.33329882942835143,12.863258998667215
ca11,pre-1990,7443,1840,2656,25097180,0.24721214564019883,0.23754359814920162,0.2571415043243087,10.582862297676472
ca11,1990-2004,11517,3336,4981,46660063,0.28965876530346446,0.2814455459685878,0.29801226030834266,10.675082028929108
ca11,2005-2014,11596,2294,3437,36859735,0.19782683684028976,0.19067674139049323,0.20517707785476266,9.324538008751283
ca11,2015-2026,9836,2315,3488,37404834,0.23535990239934934,0.22708040827241877,0.24384603428332316,9.324997940105817
cadc,pre-1990,25960,4978,7365,90029411,0.19175654853620955,0.18701323712296924,0.196591075114092,8.180659984546606
cadc,1990-2004,7687,2300,3520,30804645,0.299206452452192,0.2890721578628529,0.3095413410811379,11.426848126313418
cadc,2005-2014,4642,1204,1871,17454179,0.25937096079276173,0.24696504537857436,0.2721748237034882,10.71949588691625
cadc,2015-2026,4733,1538,2487,25252422,0.3249524614409465,0.31175573105691307,0.33843312051878666,9.848560268793227
cafc,pre-1990,2744,491,608,7576352,0.17893586005830903,0.16504600234705666,0.19372344054950622,8.024970328728127
cafc,1990-2004,8374,1389,1922,24128342,0.1658705517076666,0.15805718845022468,0.17399034035480793,7.965735896813797
cafc,2005-2014,6228,1259,1805,20553723,0.20215157353885677,0.19236230934034382,0.21230805326964294,8.78186399612372
cafc,2015-2026,4761,1187,1747,17344185,0.24931737030035706,0.23723391729465926,0.26180504341286975,10.072540162596283
