court,type_group,n,k,occ,words,rate,lo,hi,per_100k_words
scotus,majority/lead,39728,7734,11592,162142478,0.19467378171566654,0.1908098149827957,0.1985967913296588,7.149267818640344
scotus,other,7,1,1,8108,0.14285714285714285,0.02567895594897479,0.5131345033190299,12.3334977799704
scotus,separate,11329,1248,1575,27092158,0.11015976696972372,0.10452599924454296,0.11605783032208579,5.813490383453397
ca1,majority/lead,33945,9435,13776,125048353,0.27794962439239945,0.27320916405317275,0.28274033850658464,11.016538538496386
ca1,other,116,5,7,88971,0.04310344827586207,0.018549292808975087,0.09694983270336786,7.8677321823965105
ca1,separate,1366,120,165,2908166,0.08784773060029283,0.07396845245904882,0.1040386981487295,5.6736788752774086
ca2,majority/lead,74892,15422,22110,215551684,0.20592319606900603,0.20304215704567705,0.20883440300088232,10.257400726222116
ca2,other,233,11,12,209883,0.04721030042918455,0.026562747469758,0.08254646307433562,5.7174711625048245
ca2,separate,4556,346,429,8347456,0.07594381035996488,0.06860365736301173,0.08399848565879847,5.139290341871823
ca3,majority/lead,50553,12804,19575,188091439,0.2532787371669337,0.24950651715846653,0.2570884517804159,10.407172226482887
ca3,other,157,7,7,142550,0.044585987261146494,0.021762472602048395,0.08916405386871538,4.910557699052964
ca3,separate,3644,429,555,8735546,0.11772777167947311,0.10766387591946126,0.12859682136520156,6.353352154519019
ca4,majority/lead,76919,9497,13325,151072320,0.12346754377982033,0.12116145488369613,0.1258112414551765,8.820278923365974
ca4,other,68,5,6,58709,0.07352941176470588,0.03181437515487155,0.16085393958199404,10.219898141681854
ca4,separate,3448,367,501,7883666,0.1064385150812065,0.09657892769582037,0.11717410199128928,6.354911534811342
ca5,majority/lead,98035,18289,25820,254447829,0.18655582190034173,0.18412955903779152,0.189006649050575,10.147463274288734
ca5,other,302,17,18,235834,0.056291390728476824,0.03543891304548654,0.08829049459559304,7.63248725798655
ca5,separate,4969,450,568,9924790,0.09056148118333669,0.08289501359536577,0.09886054443407158,5.7230430064515225
ca6,majority/lead,68699,11415,15428,213407462,0.16615962386643182,0.16339484559420794,0.16896173629133668,7.22936295451562
ca6,other,100,4,4,74313,0.04,0.015663050551848013,0.09837217232607373,5.382638300162824
ca6,separate,5105,432,524,9488044,0.08462291870714986,0.07729686438258097,0.0925736596908215,5.522739987293482
ca7,majority/lead,68196,12765,16946,218138387,0.18718106633820164,0.1842711653062319,0.19012620866068947,7.768463053685274
ca7,other,116,5,6,96598,0.04310344827586207,0.018549292808975087,0.09694983270336786,6.211308722747883
ca7,separate,3716,316,378,6836303,0.08503767491926803,0.0764919964478613,0.09444044325602287,5.529304362313959
ca8,majority/lead,74922,12483,16135,190188766,0.16661327780892127,0.16396211665934657,0.16929862578655477,8.483676685719702
ca8,other,103,2,5,86958,0.019417475728155338,0.005341113332198463,0.06805351947000593,5.749902251661722
ca8,separate,4255,271,339,6294588,0.06368977673325499,0.05673855009118461,0.07142813260487996,5.385578849640358
ca9,majority/lead,138651,27420,40195,324691615,0.19776272800051928,0.19567450149116775,0.19986770220783384,12.379438871558172
ca9,other,137,6,7,159298,0.043795620437956206,0.020223886822615784,0.09225424463854344,4.39427990307474
ca9,separate,9021,966,1247,17799610,0.10708347189890256,0.10086879323223756,0.11363265574610237,7.005771474768267
ca10,majority/lead,43095,8974,13342,137553603,0.2082376145724562,0.20442998988329356,0.21209725153564984,9.699491477515133
ca10,other,104,11,18,175712,0.10576923076923077,0.060092726304192594,0.17953279853965243,10.244035694773265
ca10,separate,2246,222,278,4525741,0.09884238646482636,0.08717582698505148,0.1118788975786689,6.142640509034873
ca11,majority/lead,38356,9524,14215,140735057,0.2483053498800709,0.24400702279985148,0.25265408958597235,10.100539483918352
ca11,other,27,6,8,95748,0.2222222222222222,0.10607095489408955,0.4075729546307081,8.355265906337468
ca11,separate,2009,255,339,5191007,0.12692882030861125,0.1130803497199801,0.14220133762193496,6.530524809540808
cadc,majority/lead,38493,9477,14509,152125532,0.24620060790273557,0.24192241783032498,0.25052945126015125,9.537518001909108
cadc,other,178,21,27,324868,0.11797752808988764,0.07847201278288932,0.17362431720980764,8.311067879877365
cadc,separate,4351,522,707,11090257,0.11997242013330268,0.11065114015865943,0.1299641786625808,6.374964980522995
cafc,majority/lead,20320,4134,5854,65788281,0.20344488188976378,0.1979660752248216,0.2090357978856242,8.898241314437142
cafc,other,16,0,0,31088,0.0,0.0,0.19361341827271994,0.0
cafc,separate,1771,192,228,3783233,0.10841332580463016,0.0947717278816398,0.12375008274078422,6.026591542207419
