trigger,expression,n_opinions,share_of_corpus
T01,need not decide,38900,0.041906633313726634
T02,need not reach,24014,0.02587007435464862
T03,do not decide,18841,0.020297246227864357
T04,do not reach,35486,0.03822876066249108
T05,decline to decide,6737,0.007257711790091936
T06,decline to address,14430,0.015545314105837411
T07,without deciding,23085,0.024869270695305378
T08,assuming without deciding,3564,0.003839466352959427
T09,assume without deciding,5721,0.0061631837837488445
T10,express no opinion,19946,0.02148765316389695
T11,reserve / reserved,23053,0.024834797372270952
T12,leave for another day,3233,0.0034828829178220615
T13,not necessary to decide,16052,0.017292680667144983
