year,n,k,occ,words,rate,lo,hi,per_100k_words
1789,12,0,0,24039,0.0,0.0,0.2425007574992425,0.0
1790,10,0,0,13175,0.0,-2.0052288475052677e-17,0.2775401687666165,0.0
1791,4,0,0,3946,0.0,0.0,0.48990002040399916,0.0
1792,12,0,0,20253,0.0,0.0,0.2425007574992425,0.0
1793,14,0,0,35165,0.0,0.0,0.21531701192718142,0.0
1794,5,0,0,4591,0.0,-3.139202815737979e-17,0.43449149475208104,0.0
1795,19,1,1,55603,0.05263157894736842,0.00935175249052995,0.24639215336545212,1.7984641116486522
1796,19,0,0,56492,0.0,0.0,0.16818436536845052,0.0
1797,16,0,0,28111,0.0,0.0,0.19361341827271994,0.0
1798,10,0,0,26811,0.0,-2.0052288475052677e-17,0.2775401687666165,0.0
1799,18,1,1,20726,0.05555555555555555,0.009874935830924522,0.2575779980200754,4.824857666698833
1800,21,0,0,27476,0.0,0.0,0.15464382326420195,0.0
1801,8,0,0,23050,0.0,0.0,0.3244156195108769,0.0
1802,5,0,0,6859,0.0,-3.139202815737979e-17,0.43449149475208104,0.0
1803,22,1,1,33104,0.045454545454545456,0.008069219301147859,0.21798489499518056,3.0207829869502176
1804,29,0,0,62560,0.0,0.0,0.11697359446555587,0.0
1805,36,2,2,108228,0.05555555555555555,0.015369663767066846,0.18144974107611211,1.84795062275936
1806,44,2,3,71556,0.045454545454545456,0.012554846366981074,0.15135271525303162,4.192520543350663
1807,19,2,4,47908,0.10526315789473684,0.029357941395096582,0.31394550494841694,8.349336227769893
1808,36,2,2,73614,0.05555555555555555,0.015369663767066846,0.18144974107611211,2.7168745075664953
1809,39,4,4,66176,0.10256410256410256,0.040612655582869875,0.23579158702244832,6.044487427466151
1810,37,2,2,52333,0.05405405405405406,0.014950662770539937,0.17704965063539913,3.8216803928687444
1812,37,4,5,60211,0.10810810810810811,0.04285120520506268,0.24708846415167166,8.304130474498015
1813,50,3,3,81172,0.06,0.02061459636463048,0.16217343370877002,3.695855713792933
1814,61,1,1,157336,0.01639344262295082,0.0028996561143639805,0.08719065627768062,0.6355824477551227
1815,42,0,0,98051,0.0,0.0,0.08380161250916197,0.0
1816,42,1,1,100092,0.023809523809523808,0.004215295499100293,0.12321481165248255,0.9990808456220278
1817,43,4,4,81719,0.09302325581395349,0.036771045103346514,0.21602988398532677,4.894822501499039
1818,58,6,6,153809,0.10344827586206896,0.048280750158591554,0.20788338531008968,3.900942077511719
1819,54,2,4,173694,0.037037037037037035,0.010216153585413053,0.12535409343403314,2.30290050318376
1820,45,4,4,140740,0.08888888888888889,0.035110548134203154,0.207338511683657,2.8421202216853776
1821,35,1,1,81891,0.02857142857142857,0.005061361365853357,0.14533409093271313,1.2211354117058042
1822,34,4,4,79892,0.11764705882352941,0.04671370973436122,0.26621174796298774,5.006759124818505
1823,37,1,1,132771,0.02702702702702703,0.00478685105490773,0.13824378437563367,0.7531765219814568
1824,78,10,10,335241,0.1282051282051282,0.0711524611999346,0.22016149160646212,2.9829286990553063
1825,29,3,3,87904,0.10344827586206896,0.03581424038130106,0.26385447247069155,3.412813978886058
1826,30,1,3,87285,0.03333333333333333,0.005908437994857381,0.16670751396958874,3.4370166695308475
1827,55,5,7,249720,0.09090909090909091,0.039457573336373924,0.19577736249133978,2.8031395162582093
1828,64,6,6,204955,0.09375,0.04367765783128785,0.1898309858327767,2.9274718840721135
1829,50,6,6,149466,0.12,0.05617523710624645,0.23805078886623582,4.01429087551684
1830,67,4,7,288936,0.05970149253731343,0.023458971433043544,0.14369704988776227,2.4226818395769305
1831,57,8,10,252344,0.14035087719298245,0.07287189227128286,0.25324707895892806,3.9628443711758554
1832,61,2,2,229536,0.03278688524590164,0.009037700815687872,0.1118970077664569,0.8713230168688136
1833,44,1,1,116916,0.022727272727272728,0.00402314838563701,0.11807979131537633,0.8553149269561053
1834,64,4,4,146433,0.0625,0.024570803674792932,0.14997696642496885,2.731624702082181
1835,48,8,9,191890,0.16666666666666666,0.08695410039453222,0.29578100037396254,4.690187086351555
1836,77,12,13,267170,0.15584415584415584,0.09145782358403826,0.25293912056352935,4.865815772728974
1837,30,5,5,246538,0.16666666666666666,0.07336434240351682,0.3356470518568018,2.028084919971769
1838,52,8,9,215126,0.15384615384615385,0.08007589590882648,0.2752434359154765,4.183594730530015
1839,64,0,0,191708,0.0,0.0,0.056626022971156334,0.0
1840,56,3,5,251077,0.05357142857142857,0.01838544792866792,0.14607539536429218,1.9914209585107359
1841,47,3,3,88001,0.06382978723404255,0.021944987020772803,0.17162877934377904,3.409052169861706
1842,76,4,4,207028,0.05263157894736842,0.020655095015801955,0.1276585660330748,1.9321058021137238
1843,49,0,0,117910,0.0,0.0,0.07270029673590504,0.0
1844,66,4,4,204400,0.06060606060606061,0.023818229304678567,0.14573115100734177,1.9569471624266146
1845,71,5,5,229747,0.07042253521126761,0.030453153406264533,0.1544921176729214,2.176306981157534
1846,63,4,4,188091,0.06349206349206349,0.024965213900485027,0.15219392053076733,2.126630194958823
1847,63,7,10,228639,0.1111111111111111,0.05487478965589833,0.21204880283739927,4.373707022861367
1848,43,2,2,153008,0.046511627906976744,0.01284899031731969,0.15455775923863058,1.3071211962773188
1849,54,5,5,357681,0.09259259259259259,0.040200542070567336,0.1991012753065453,1.3978936538423903
1850,108,7,7,316971,0.06481481481481481,0.031747786442789375,0.12777782835528215,2.208403923387313
1851,108,2,2,326570,0.018518518518518517,0.005093117606642764,0.06502032855292575,0.6124261260985394
1852,107,4,5,395464,0.037383177570093455,0.01463166252834276,0.09220187289518052,1.2643375882507637
1853,79,4,4,265719,0.05063291139240506,0.019863721314733046,0.12307895482865383,1.5053496362698942
1854,112,1,1,377980,0.008928571428571428,0.0015778140883850752,0.04884966619503642,0.2645642626594
1855,100,10,11,269273,0.1,0.05522854161313613,0.1743673043676654,4.085073512754714
1856,133,9,9,347302,0.06766917293233082,0.0360059783846149,0.12360630326073269,2.5914045988793615
1857,83,2,2,364063,0.024096385542168676,0.00663302707979022,0.0836647104100764,0.549355468696352
1858,95,4,4,259462,0.042105263157894736,0.016493505976432808,0.10331030132737451,1.541651571328364
1859,93,6,6,199457,0.06451612903225806,0.029901024142029803,0.1336815684628012,3.0081671738770766
1860,120,2,2,247848,0.016666666666666666,0.004582468541151392,0.058737126812913806,0.8069461928278623
1861,80,0,0,208364,0.0,-3.310477807631166e-18,0.0458197362645751,0.0
1862,82,1,1,173633,0.012195121951219513,0.00215593657096515,0.06589498512667329,0.5759273870750375
1863,130,13,15,379087,0.1,0.05937492270353047,0.16358714589098722,3.9568753346857055
1864,84,10,10,161048,0.11904761904761904,0.065964782536511,0.20545103866893152,6.209328895732949
1865,76,6,10,155381,0.07894736842105263,0.03668350552145427,0.1617293519363121,6.435793308062118
1866,172,11,11,315522,0.06395348837209303,0.03608213881071923,0.11087739749923245,3.486286217759776
1867,141,12,13,284471,0.0851063829787234,0.049353257767916575,0.1428677616077324,4.569885858312446
1868,97,2,3,171834,0.020618556701030927,0.005672566204243077,0.07208899251755425,1.7458710150494081
1869,191,12,12,398405,0.06282722513089005,0.036301274070075565,0.10659223532422213,3.0120103914358505
1870,175,10,11,307617,0.05714285714285714,0.031331313479795224,0.10197995190812348,3.5758751954540875
1871,254,20,21,571370,0.07874015748031496,0.05154754223721647,0.11848553233259693,3.675376726114427
1872,200,11,13,357859,0.055,0.0309850208013701,0.0957879244659355,3.6327156785214285
1873,264,13,13,550021,0.04924242424242424,0.028999993062839992,0.08241511198432219,2.363546119148178
1874,284,28,28,574744,0.09859154929577464,0.06909490466029161,0.13880277239542238,4.871734198182147
1875,242,9,9,489731,0.0371900826446281,0.019686831656322176,0.06915736720993967,1.8377435775966806
