item_id,first,second,f_bin,s_bin,agree
932059-2,A,A,U,U,True
185764-0,X,X,X,X,True
c706847-0,D,D,D,D,True
2511566-0,A,A,U,U,True
786064-0,X,X,X,X,True
475065-0,D,D,D,D,True
6930225-0,A,A,U,U,True
185281-1,A,A,U,U,True
502473-1,A,A,U,U,True
508836-0,A,A,U,U,True
c11312058-0,D,D,D,D,True
386299-0,X,X,X,X,True
c3000786-0,D,D,D,D,True
9477147-0,A,A,U,U,True
200620-0,A,A,U,U,True
c8679229-1,D,D,D,D,True
778719-0,A,A,U,U,True
1550847-0,D,D,D,D,True
286579-1,D,D,D,D,True
r9778225-0,X,X,X,X,True
38074-0,A,A,U,U,True
r2796985-0,X,X,X,X,True
8882596-0,A,A,U,U,True
74447-0,X,X,X,X,True
469164-0,A,A,U,U,True
9453371-1,A,A,U,U,True
9435582-0,S,S,U,U,True
