context,stratum,n,tfidf_acc,lexical_acc
SENT,CTRL_HOLD,44,0.75,1.0
SENT,CTRL_RAND,9,0.2222222222222222,1.0
SENT,H1,38,0.9473684210526315,0.8947368421052632
SENT,H2,43,0.9069767441860465,0.9069767441860465
SENT,PLAIN,52,0.9615384615384616,0.9423076923076923
W256,CTRL_HOLD,44,0.5454545454545454,1.0
W256,CTRL_RAND,9,0.4444444444444444,1.0
W256,H1,38,0.9473684210526315,0.8947368421052632
W256,H2,43,0.9302325581395349,0.9069767441860465
W256,PLAIN,52,0.9230769230769231,0.9423076923076923
W1024,CTRL_HOLD,44,0.3181818181818182,1.0
W1024,CTRL_RAND,9,0.5555555555555556,1.0
W1024,H1,38,0.8157894736842105,0.8947368421052632
W1024,H2,43,0.813953488372093,0.9069767441860465
W1024,PLAIN,52,0.8846153846153846,0.9423076923076923
W4096,CTRL_HOLD,44,0.22727272727272727,1.0
W4096,CTRL_RAND,9,0.3333333333333333,1.0
W4096,H1,38,0.8421052631578947,0.8947368421052632
W4096,H2,43,0.813953488372093,0.9069767441860465
W4096,PLAIN,52,0.8653846153846154,0.9423076923076923
