model,context,split,n,acc,macro_f1,f1_unresolved,ci_lo,ci_hi
lexical-rule,SENT,TEST,104,0.9519230769230769,0.9457825044312376,0.9640287769784173,0.8956048067062083,0.9891565008862475
lexical-rule,SENT,TEMPORAL,36,0.8888888888888888,0.8615384615384616,0.9230769230769231,0.7037037037037037,0.9680567879325643
lexical-rule,SENT,COURT,46,0.9565217391304348,0.9486607142857143,0.96875,0.8626865671641791,1.0
tfidf-lr,SENT,TEST,104,0.8461538461538461,0.8126126126126125,0.8918918918918919,0.7179487179487178,0.8935274712774428
tfidf-lr,SENT,TEMPORAL,36,0.8333333333333334,0.7923076923076923,0.8846153846153846,0.6072727272727273,0.9259259259259258
tfidf-lr,SENT,COURT,46,0.9130434782608695,0.8973214285714286,0.9375,0.785510029876227,0.9756742464304601
lexical-rule,W256,TEST,104,0.9519230769230769,0.9457825044312376,0.9640287769784173,0.8911958033146649,0.9888111888111888
lexical-rule,W256,TEMPORAL,36,0.8888888888888888,0.8615384615384616,0.9230769230769231,0.7186383928571428,0.9664283104546163
lexical-rule,W256,COURT,46,0.9565217391304348,0.9486607142857143,0.96875,0.8618618618618619,1.0
tfidf-lr,W256,TEST,104,0.8365384615384616,0.7988852235240587,0.8859060402684564,0.7100479536076726,0.8804597701149426
tfidf-lr,W256,TEMPORAL,36,0.75,0.653475935828877,0.8363636363636363,0.4526315789473684,0.8212512413108242
tfidf-lr,W256,COURT,46,0.8260869565217391,0.7745098039215685,0.8823529411764706,0.6053648798228969,0.9005046863734678
lexical-rule,W1024,TEST,104,0.9519230769230769,0.9457825044312376,0.9640287769784173,0.8974358974358975,0.9891565008862475
lexical-rule,W1024,TEMPORAL,36,0.8888888888888888,0.8615384615384616,0.9230769230769231,0.7052631578947368,0.9693869188337271
lexical-rule,W1024,COURT,46,0.9565217391304348,0.9486607142857143,0.96875,0.8626865671641791,1.0
tfidf-lr,W1024,TEST,104,0.6634615384615384,0.5674390968508616,0.7712418300653595,0.4685680332739156,0.6666773367477593
tfidf-lr,W1024,TEMPORAL,36,0.75,0.6210526315789473,0.8421052631578947,0.41935483870967744,0.8
tfidf-lr,W1024,COURT,46,0.7608695652173914,0.681159420289855,0.8405797101449275,0.5165165165165165,0.8237547892720306
lexical-rule,W4096,TEST,104,0.9519230769230769,0.9457825044312376,0.9640287769784173,0.8907131738739029,0.988615216201423
lexical-rule,W4096,TEMPORAL,36,0.8888888888888888,0.8615384615384616,0.9230769230769231,0.7037037037037037,0.9663865546218486
lexical-rule,W4096,COURT,46,0.9565217391304348,0.9486607142857143,0.96875,0.8654268133019114,1.0
tfidf-lr,W4096,TEST,104,0.6346153846153846,0.5128205128205128,0.7564102564102564,0.4135338345864662,0.6090278030018685
tfidf-lr,W4096,TEMPORAL,36,0.7222222222222222,0.5566502463054187,0.8275862068965517,0.3898305084745763,0.7339901477832512
tfidf-lr,W4096,COURT,46,0.717391304347826,0.5989268947015426,0.8169014084507042,0.43619322278298484,0.7475819101834275
issue-only,ISSUE,TEST,104,0.6057692307692307,0.5412587412587413,0.7132867132867133,0.4401656314699793,0.6388888888888888
issue-only,ISSUE,TEMPORAL,36,0.7222222222222222,0.6296296296296295,0.8148148148148148,0.4459375,0.7923076923076923
issue-only,ISSUE,COURT,46,0.7391304347826086,0.6919642857142857,0.8125,0.5377959986252789,0.8297197250132204
majority,-,TEST,104,0.6442307692307693,0.391812865497076,0.783625730994152,0.35403726708074534,0.4222222222222222
majority,-,TEMPORAL,36,0.6666666666666666,0.4,0.8,0.34545454545454546,0.4461538461538462
majority,-,COURT,46,0.6739130434782609,0.4025974025974026,0.8051948051948052,0.352112676056338,0.4457831325301205
