context,stratum,llm_acc
SENT,CTRL_HOLD,0.8636363636363636
SENT,CTRL_RAND,0.2222222222222222
SENT,H1,0.8421052631578947
SENT,H2,0.6976744186046512
SENT,PLAIN,0.8269230769230769
W1024,CTRL_HOLD,0.7954545454545454
W1024,CTRL_RAND,0.6666666666666666
W1024,H1,0.8421052631578947
W1024,H2,0.7209302325581395
W1024,PLAIN,0.7307692307692307
W256,CTRL_HOLD,0.7954545454545454
W256,CTRL_RAND,0.4444444444444444
W256,H1,0.8421052631578947
W256,H2,0.7441860465116279
W256,PLAIN,0.8461538461538461
W4096,CTRL_HOLD,0.8863636363636364
W4096,CTRL_RAND,0.7777777777777778
W4096,H1,0.2894736842105263
W4096,H2,0.3023255813953488
W4096,PLAIN,0.21153846153846154
