context,stratum,llm_acc
SENT,CTRL_HOLD,0.7272727272727273
SENT,CTRL_RAND,0.3333333333333333
SENT,H1,0.9210526315789473
SENT,H2,0.8837209302325582
SENT,PLAIN,0.9230769230769231
W1024,CTRL_HOLD,0.45454545454545453
W1024,CTRL_RAND,0.5555555555555556
W1024,H1,0.8947368421052632
W1024,H2,0.8372093023255814
W1024,PLAIN,0.8653846153846154
W256,CTRL_HOLD,0.3181818181818182
W256,CTRL_RAND,0.3333333333333333
W256,H1,0.8947368421052632
W256,H2,0.9069767441860465
W256,PLAIN,0.8846153846153846
W4096,CTRL_HOLD,0.5909090909090909
W4096,CTRL_RAND,0.4444444444444444
W4096,H1,0.5789473684210527
W4096,H2,0.5348837209302325
W4096,PLAIN,0.5384615384615384
