model,context,split,n,acc,macro_f1,f1_unresolved
Phi-3.5-mini-instruct,SENT,TEST,104,0.7692307692307693,0.7416149068322981,0.8260869565217391
Phi-3.5-mini-instruct,SENT,TEMPORAL,36,0.8055555555555556,0.7497517378351539,0.8679245283018868
Phi-3.5-mini-instruct,SENT,COURT,46,0.782608695652174,0.7718253968253967,0.8214285714285714
Phi-3.5-mini-instruct,W256,TEST,104,0.8076923076923077,0.7743055555555556,0.8611111111111112
Phi-3.5-mini-instruct,W256,TEMPORAL,36,0.75,0.712511091393079,0.8163265306122449
Phi-3.5-mini-instruct,W256,COURT,46,0.782608695652174,0.7604166666666667,0.8333333333333334
Phi-3.5-mini-instruct,W1024,TEST,104,0.7596153846153846,0.7422424903340934,0.8091603053435115
Phi-3.5-mini-instruct,W1024,TEMPORAL,36,0.75,0.712511091393079,0.8163265306122449
Phi-3.5-mini-instruct,W1024,COURT,46,0.782608695652174,0.7604166666666667,0.8333333333333334
Phi-3.5-mini-instruct,W4096,TEST,104,0.4519230769230769,0.43687660302080367,0.3448275862068966
Phi-3.5-mini-instruct,W4096,TEMPORAL,36,0.3333333333333333,0.2775919732441472,0.07692307692307693
Phi-3.5-mini-instruct,W4096,COURT,46,0.4782608695652174,0.46923076923076923,0.4
